id,title,year,ratings,votes,length,genres,formatted_title,formatted_length
tt0091877,Ruthless People (1986),1986,6.8,10709,93 mins.,Comedy|Crime,Ruthless People,93
tt0104437,Honey I Blew Up the Kid (1992),1992,4.3,10707,89 mins.,Adventure|Comedy|Family|Sci-Fi,Honey I Blew Up the Kid,89
tt0862467,Valhalla Rising (2009),2009,5.8,10695,93 mins.,Action|Adventure|History,Valhalla Rising,93
tt0318081,A Sound of Thunder (2005),2005,4.1,10685,110 mins.,Action|Adventure|Sci-Fi|Thriller,A Sound of Thunder,110
tt0112572,The Brady Bunch Movie (1995),1995,5.6,10675,90 mins.,Comedy,The Brady Bunch Movie,90
tt0074695,Cross of Iron (1977),1977,7.5,10662,132 mins.,Action|Drama|War,Cross of Iron,132
tt0802948,An American Crime (2007),2007,7.3,10658,97 mins.,Crime|Drama,An American Crime,97
tt0104466,Husbands and Wives (1992),1992,7.4,10648,108 mins.,Drama|Romance,Husbands and Wives,108
tt0421994,Imagine Me & You (2005),2005,6.7,10640,94 mins.,Comedy|Drama|Romance,Imagine Me & You,94
tt0089173,Friday the 13th: A New Beginning (1985),1985,4.1,10613,92 mins.,Drama|Horror|Mystery|Thriller,Friday the 13th: A New Beginning,92
tt0172396,The End of the Affair (1999),1999,7.0,10608,102 mins.,Drama|Romance,The End of the Affair,102
tt0315297,Twisted (2004),2004,4.9,10607,97 mins.,Crime|Drama|Mystery|Thriller,Twisted,97
tt0324127,Suspect Zero (2004),2004,5.8,10603,99 mins.,Crime|Thriller,Suspect Zero,99
tt0219822,Human Nature (2001),2001,6.3,10591,96 mins.,Comedy|Drama,Human Nature,96
tt0065462,Beneath the Planet of the Apes (1970),1970,6.0,10585,95 mins.,Action|Sci-Fi,Beneath the Planet of the Apes,95
tt1232776,Fish Tank (2009),2009,7.4,10578,123 mins.,Drama,Fish Tank,123
tt0758742,Death Note (2006),2006,7.8,10574,126 mins.,Adventure|Crime|Drama|Fantasy|Mystery|Thriller,Death Note,126
tt0080661,Dressed to Kill (1980),1980,7.1,10535,105 mins.,Mystery|Thriller,Dressed to Kill,105
tt1379182,Dogtooth (2009),2009,7.2,10524,94 mins.,Drama,Dogtooth,94
tt0116999,Marvin's Room (1996),1996,6.6,10523,98 mins.,Drama,Marvin's Room,98
tt0078754,All That Jazz (1979),1979,7.6,10521,123 mins.,Drama|Fantasy|Music,All That Jazz,123
tt0090180,To Live and Die in L.A. (1985),1985,7.1,10515,116 mins.,Action|Crime|Drama|Thriller,To Live and Die in L.A.,116
tt0117608,Sgt. Bilko (1996),1996,5.2,10504,93 mins.,Comedy,Sgt. Bilko,93
tt0111143,The Shadow (1994),1994,5.7,10497,108 mins.,Action|Adventure|Crime|Fantasy|Mystery|Thriller,The Shadow,108
tt0117331,The Phantom (1996),1996,4.9,10487,100 mins.,Action|Adventure,The Phantom,100
tt0364955,Art School Confidential (2006),2006,6.3,10481,102 mins.,Comedy|Drama,Art School Confidential,102
tt0426578,Sophie Scholl: The Final Days (2005),2005,7.8,10454,120 mins.,Biography|Crime|Drama|History|War,Sophie Scholl: The Final Days,120
tt0454776,Amazing Grace (2006),2006,7.5,10450,117 mins.,Biography|Drama|History|Romance,Amazing Grace,117
tt0099334,Cyrano de Bergerac (1990),1990,7.6,10428,137 mins.,Comedy|Drama|History|Romance,Cyrano de Bergerac,137
tt0283026,Swimfan (2002),2002,4.7,10419,85 mins.,Thriller|Drama,Swimfan,85
tt0114682,"To Wong Foo Thanks for Everything, Julie Newmar (1995)",1995,5.8,10417,109 mins.,Comedy,"To Wong Foo Thanks for Everything, Julie Newmar",109
tt0337909,Calendar Girls (2003),2003,6.9,10401,108 mins.,Comedy|Drama,Calendar Girls,108
tt0114576,Sudden Death (1995),1995,5.3,10387,111 mins.,Action|Drama|Thriller,Sudden Death,111
tt0429591,Aquamarine (2006),2006,4.7,10377,104 mins.,Comedy|Family|Fantasy|Romance,Aquamarine,104
tt0180052,The Adventures of Pluto Nash (2002),2002,3.6,10364,95 mins.,Comedy|Action|Sci-Fi,The Adventures of Pluto Nash,95
tt0091954,Sid and Nancy (1986),1986,7.0,10361,112 mins.,Biography|Drama|Music,Sid and Nancy,112
tt0091059,Flight of the Navigator (1986),1986,6.7,10603,90 mins.,Family|Adventure|Sci-Fi,Flight of the Navigator,90
tt0110955,The Ref (1994),1994,6.8,10596,93 mins.,Comedy|Crime|Drama,The Ref,93
tt0133385,Ast\xe9rix et Ob\xe9lix contre C\xe9sar (1999),1999,5.4,10586,109 mins.,Adventure|Comedy|Family|Fantasy,Ast\xe9rix et Ob\xe9lix contre C\xe9sar,109
tt0403217,Last Days (2005),2005,5.7,10579,97 mins.,Biography|Drama|Music,Last Days,97
tt0086984,Body Double (1984),1984,6.5,10577,114 mins.,Crime|Drama|Mystery|Thriller,Body Double,114
tt0085894,The Man with Two Brains (1983),1983,6.2,10571,93 mins.,Comedy|Romance|Sci-Fi,The Man with Two Brains,93
tt0083564,Annie (1982),1982,6.0,10534,126 mins.,Family|Musical,Annie,126
tt0115907,City Hall (1996),1996,6.1,10523,111 mins.,Drama|Thriller,City Hall,111
tt0088184,Stranger Than Paradise (1984),1984,7.5,10522,89 mins.,Comedy|Drama,Stranger Than Paradise,89
